row_id	source_family	source_id	mode	snapshot_date	timeout_seconds	timeout_policy	strict_network	required_env	url_override	from_file_input	replay_input_expected	replay_input_policy	ingest_command	expected_stdout_log	expected_stderr_log	expected_run_snapshot_csv	expected_source_records_snapshot_csv	notes
bdns_api_subvenciones__replay	bdns	bdns_api_subvenciones	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bdns_api_subvenciones --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bdns_api_subvenciones/bdns_api_subvenciones_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_api_subvenciones__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bdns_api_subvenciones__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_api_subvenciones__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bdns_api_subvenciones__replay_source_records_snapshot.csv	min_records_loaded_strict=10; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture
eurostat_sdmx__strict-network	outcomes	eurostat_sdmx	strict-network	2026-02-17	30	strict_override_tracker=30s	1	-	https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source eurostat_sdmx --url https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_a --snapshot-date 2026-02-17 --strict-network --timeout 30	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/eurostat_sdmx__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/eurostat_sdmx__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/eurostat_sdmx__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/eurostat_sdmx__strict-network_source_records_snapshot.csv	min_records_loaded_strict=1; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=tracker
eurostat_sdmx__from-file	outcomes	eurostat_sdmx	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/eurostat_sdmx_sample.json	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source eurostat_sdmx --from-file etl/data/raw/samples/eurostat_sdmx_sample.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/eurostat_sdmx__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/eurostat_sdmx__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/eurostat_sdmx__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/eurostat_sdmx__from-file_source_records_snapshot.csv	min_records_loaded_strict=1; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file
eurostat_sdmx__replay	outcomes	eurostat_sdmx	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source eurostat_sdmx --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/eurostat_sdmx/eurostat_sdmx_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/eurostat_sdmx__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/eurostat_sdmx__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/eurostat_sdmx__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/eurostat_sdmx__replay_source_records_snapshot.csv	min_records_loaded_strict=1; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture
bde_series_api__strict-network	outcomes	bde_series_api	strict-network	2026-02-17	30	strict_override_tracker=30s	1	-	https://api.bde.es/datos/series/PARO.TASA.ES.M	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bde_series_api --url https://api.bde.es/datos/series/PARO.TASA.ES.M --snapshot-date 2026-02-17 --strict-network --timeout 30	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bde_series_api__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bde_series_api__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bde_series_api__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bde_series_api__strict-network_source_records_snapshot.csv	min_records_loaded_strict=1; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=tracker
bde_series_api__from-file	outcomes	bde_series_api	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/bde_series_api_sample.json	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bde_series_api --from-file etl/data/raw/samples/bde_series_api_sample.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bde_series_api__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bde_series_api__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bde_series_api__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bde_series_api__from-file_source_records_snapshot.csv	min_records_loaded_strict=1; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file
bde_series_api__replay	outcomes	bde_series_api	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source bde_series_api --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/bde_series_api/bde_series_api_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bde_series_api__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/bde_series_api__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bde_series_api__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/bde_series_api__replay_source_records_snapshot.csv	min_records_loaded_strict=1; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture
aemet_opendata_series__strict-network	outcomes	aemet_opendata_series	strict-network	2026-02-17	30	strict_override_tracker=30s	1	AEMET_API_KEY	https://opendata.aemet.es/opendata/api/valores/climatologicos	-	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source aemet_opendata_series --url https://opendata.aemet.es/opendata/api/valores/climatologicos --snapshot-date 2026-02-17 --strict-network --timeout 30	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/aemet_opendata_series__strict-network.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/aemet_opendata_series__strict-network.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/aemet_opendata_series__strict-network_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/aemet_opendata_series__strict-network_source_records_snapshot.csv	min_records_loaded_strict=1; replay_schema=normalized_run_snapshot_v2; strict_network_fallback_disabled=true; url_override=tracker; required_env=AEMET_API_KEY
aemet_opendata_series__from-file	outcomes	aemet_opendata_series	from-file	2026-02-17	45	default_timeout=45s	0	-	-	etl/data/raw/samples/aemet_opendata_series_sample.json	-	not-applicable	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source aemet_opendata_series --from-file etl/data/raw/samples/aemet_opendata_series_sample.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/aemet_opendata_series__from-file.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/aemet_opendata_series__from-file.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/aemet_opendata_series__from-file_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/aemet_opendata_series__from-file_source_records_snapshot.csv	min_records_loaded_strict=1; replay_schema=normalized_run_snapshot_v2; fixture_source=fallback_file
aemet_opendata_series__replay	outcomes	aemet_opendata_series	replay	2026-02-17	45	default_timeout=45s	0	-	-	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json	docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json	must-exist-before-run	python3 scripts/ingestar_politicos_es.py ingest --db etl/data/staging/politicos-es.db --source aemet_opendata_series --from-file docs/etl/sprints/AI-OPS-10/evidence/replay-inputs/aemet_opendata_series/aemet_opendata_series_replay_20260217.json --snapshot-date 2026-02-17 --timeout 45	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/aemet_opendata_series__replay.stdout.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-logs/aemet_opendata_series__replay.stderr.log	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/aemet_opendata_series__replay_run_snapshot.csv	docs/etl/sprints/AI-OPS-10/evidence/source-probe-sql/aemet_opendata_series__replay_source_records_snapshot.csv	min_records_loaded_strict=1; replay_schema=normalized_run_snapshot_v2; fixture_source=replay_capture
