table_name,row_count,table_class,status,description,size_mb
sanction_procedural_metrics,6,Derived Analytics,low,Computed KPI values and audit metadata for sanction processes.,0.004
topic_sets,5,Reference,low,Configurable topic bundles/scopes for scoring and analysis.,0.004
admin_levels,4,Reference,low,Administrative level hierarchy for territories and institutions.,0.004
genders,3,Reference,low,Canonical person gender labels.,0.004
sanction_municipal_ordinance_fragments,3,Legal/Sanctions,low,Fragment-level mapping from municipal ordinances to legal references.,0.004
sanction_procedural_kpi_definitions,3,Reference,low,KPI dictionary for sanction process quality checks.,0.004
liberty_delegated_enforcement_methodologies,1,Reference,low,Methodology metadata for delegated enforcement assessments.,0.004
liberty_enforcement_methodologies,1,Reference,low,Methodology metadata for enforcement assessments.,0.004
liberty_indirect_methodologies,1,Reference,low,Methodology metadata for indirect responsibility.,0.004
liberty_irlc_methodologies,1,Reference,low,Methodology metadata for IRLC assessments.,0.004
liberty_proportionality_methodologies,1,Reference,low,Methodology metadata for proportionality analyses.,0.004
causal_estimates,0,Derived Analytics,empty,Model-backed causal estimate artifacts for interventions and outcomes.,0.004
domains,0,Reference,empty,Issue/policy domains for policy/economic/legal topics.,0.004
intervention_events,0,Junction,empty,Intervention → policy-event linkage.,0.004
interventions,0,Core Fact/Event,empty,Intervention abstractions over policy events.,0.004
money_contract_records,0,Procurement,empty,PLACSP contract-side normalized records for monitoring spending and awarded amounts.,0.004
money_subsidy_records,0,Procurement,empty,BDNS subsidy/grant records for public aid and beneficiary tracking.,0.004
person_name_aliases,0,Junction,empty,Canonicalized name alias variants for a person.,0.004
policy_axes,0,Reference,empty,Policy axis schema used for directional scoring.,0.004
policy_event_axis_scores,0,Derived Analytics,empty,Policy-event directional scores by axis and method.,0.004
