party_name,topic_label,confidence,excerpt
Ciudadanos,"Coste de vida",0.62,"dad juridica y dinamizar el mercado del alquiler queremos favorecer el acceso a una vivienda en regimen de alquiler seguro y a precios asequibles con medidas sensatas alejadas de modelos fracasados como los controles de "
Ciudadanos,"Seguridad y justicia",0.62,"licos los proyectos normativos del gobierno iran acompanados de un informe de huella legislativa que recoja los tramites e identifique los grupos de interes que hayan intervenido en las distintas fases del proceso 4 una "
Ciudadanos,Igualdad,0.62,"europea y ofrecer proteccion a todas las victimas combatiremos la intolerancia y los discursos de odio sobre todo a traves de las redes sociales siguiendo las recomendaciones de organismos internacionales en particular i"
Compromis,Energia,0.62,"la ciutadania 8 un turisme responsable i generador de riquesa i ocupacio a tot el territori 9 suport a la investigacio 1 sanitat medi ambient i territori 1 lluita contra el canvi climatic 2 canviar el model energetic 3 c"
Compromis,"Campo y mundo rural",0.62,"la investigacio 1 sanitat medi ambient i territori 1 lluita contra el canvi climatic 2 canviar el model energetic 3 combatre les diverses formes de contaminacio 5 residus 8 el mon rural 11 prevencio de danys ambientals i"
Compromis,Energia,0.62,"la ciutadania 8 un turisme responsable i generador de riquesa i ocupacio a tot el territori 9 suport a la investigacio 1 sanitat medi ambient i territori 1 lluita contra el canvi climatic 2 canviar el model energetic 3 c"
Compromis,"Campo y mundo rural",0.62,"la investigacio 1 sanitat medi ambient i territori 1 lluita contra el canvi climatic 2 canviar el model energetic 3 combatre les diverses formes de contaminacio 5 residus 8 el mon rural 11 prevencio de danys ambientals i"
Compromis,Energia,0.62,"la ciutadania 8 un turisme responsable i generador de riquesa i ocupacio a tot el territori 9 suport a la investigacio 1 sanitat medi ambient i territori 1 lluita contra el canvi climatic 2 canviar el model energetic 3 c"
Compromis,"Campo y mundo rural",0.62,"la investigacio 1 sanitat medi ambient i territori 1 lluita contra el canvi climatic 2 canviar el model energetic 3 combatre les diverses formes de contaminacio 5 residus 8 el mon rural 11 prevencio de danys ambientals i"
EQUO,"Seguridad y justicia",0.62,"iedra de la austeridad y que despliegue un ambicioso paquete de estimulos fiscales que empiece por proteger a las familias trabajadoras y acabe alcanzando un gran acuerdo que ponga en marcha una transicion ecologica con "
EQUO,"Seguridad y justicia",0.62,"iedra de la austeridad y que despliegue un ambicioso paquete de estimulos fiscales que empiece por proteger a las familias trabajadoras y acabe alcanzando un gran acuerdo que ponga en marcha una transicion ecologica con "
EQUO,"Seguridad y justicia",0.62,"iedra de la austeridad y que despliegue un ambicioso paquete de estimulos fiscales que empiece por proteger a las familias trabajadoras y acabe alcanzando un gran acuerdo que ponga en marcha una transicion ecologica con "
"FORO Asturias",Empleo,0.62,"a los trabajadores desempleados 5 de igual modo reforzaremos las funciones de orientacion desempenadas por asociaciones y entidades sin animo de lucro que veran ampliadas sus competencias y asignaciones presupuestarias i"
"FORO Asturias",Empleo,0.62,"a los trabajadores desempleados 5 de igual modo reforzaremos las funciones de orientacion desempenadas por asociaciones y entidades sin animo de lucro que veran ampliadas sus competencias y asignaciones presupuestarias i"
"FORO Asturias",Sanidad,0.62,"o boton sos etc 11 reforzaremos las plantillas de acuerdo a la normativa vigente sobre contratacion para garantizar la cobertura asistencial adecuada en cada nivel con el objetivo de no sobrecargar a los trabajadores 12 "
"FORO Asturias",Educacion,0.62,"onal y universidades publicas en asturias para la implantacion de un plan de becas que asegure un aprovechamiento de la experiencia laboral por parte del estudiante y que sea una via natural de acceso al primer empleo 3 "
"FORO Asturias","Seguridad y justicia",0.62,"a base de los siguientes principios un servicio publico de calidad al servicio de los administrados una justicia profesional y altamente cualificada y una justicia tecnologicamente avanzada para ello desde foro asturias "
"FORO Asturias",Empleo,0.62,"a los trabajadores desempleados 5 de igual modo reforzaremos las funciones de orientacion desempenadas por asociaciones y entidades sin animo de lucro que veran ampliadas sus competencias y asignaciones presupuestarias i"
"FORO Asturias",Sanidad,0.62,"o boton sos etc 11 reforzaremos las plantillas de acuerdo a la normativa vigente sobre contratacion para garantizar la cobertura asistencial adecuada en cada nivel con el objetivo de no sobrecargar a los trabajadores 12 "
"FORO Asturias",Educacion,0.62,"onal y universidades publicas en asturias para la implantacion de un plan de becas que asegure un aprovechamiento de la experiencia laboral por parte del estudiante y que sea una via natural de acceso al primer empleo 3 "
"FORO Asturias","Seguridad y justicia",0.62,"a base de los siguientes principios un servicio publico de calidad al servicio de los administrados una justicia profesional y altamente cualificada y una justicia tecnologicamente avanzada para ello desde foro asturias "
"FORO Asturias",Empleo,0.62,"a los trabajadores desempleados 5 de igual modo reforzaremos las funciones de orientacion desempenadas por asociaciones y entidades sin animo de lucro que veran ampliadas sus competencias y asignaciones presupuestarias i"
"FORO Asturias",Sanidad,0.62,"o boton sos etc 11 reforzaremos las plantillas de acuerdo a la normativa vigente sobre contratacion para garantizar la cobertura asistencial adecuada en cada nivel con el objetivo de no sobrecargar a los trabajadores 12 "
"FORO Asturias",Educacion,0.62,"onal y universidades publicas en asturias para la implantacion de un plan de becas que asegure un aprovechamiento de la experiencia laboral por parte del estudiante y que sea una via natural de acceso al primer empleo 3 "
"FORO Asturias","Seguridad y justicia",0.62,"a base de los siguientes principios un servicio publico de calidad al servicio de los administrados una justicia profesional y altamente cualificada y una justicia tecnologicamente avanzada para ello desde foro asturias "
"FORO Asturias",Sanidad,0.62,"o boton sos etc 11 reforzaremos las plantillas de acuerdo a la normativa vigente sobre contratacion para garantizar la cobertura asistencial adecuada en cada nivel con el objetivo de no sobrecargar a los trabajadores 12 "
"FORO Asturias",Educacion,0.62,"onal y universidades publicas en asturias para la implantacion de un plan de becas que asegure un aprovechamiento de la experiencia laboral por parte del estudiante y que sea una via natural de acceso al primer empleo 3 "
"FORO Asturias","Coste de vida",0.62,"stas zonas tambien deben estar dotadas de redes de servicios adecuadas y a precios competitivos todos estos factores son decisivos para la localizacion de nuevas iniciativas empresariales capaces de atraer inversiones 4 "
"FORO Asturias","Seguridad y justicia",0.62,"a base de los siguientes principios un servicio publico de calidad al servicio de los administrados una justicia profesional y altamente cualificada y una justicia tecnologicamente avanzada para ello desde foro asturias "
"FORO Asturias","Coste de vida",0.62,"stas zonas tambien deben estar dotadas de redes de servicios adecuadas y a precios competitivos todos estos factores son decisivos para la localizacion de nuevas iniciativas empresariales capaces de atraer inversiones 4 "
"FORO Asturias","Coste de vida",0.62,"stas zonas tambien deben estar dotadas de redes de servicios adecuadas y a precios competitivos todos estos factores son decisivos para la localizacion de nuevas iniciativas empresariales capaces de atraer inversiones 4 "
"FORO Asturias","Coste de vida",0.62,"stas zonas tambien deben estar dotadas de redes de servicios adecuadas y a precios competitivos todos estos factores son decisivos para la localizacion de nuevas iniciativas empresariales capaces de atraer inversiones 4 "
SUMAR,Sanidad,0.62,"es de 18 anos que sera de 200 al mes en forma de una deduccion fiscal o de una prestacion que puedan percibir mensualmente todas las familias que cumplan esas condiciones ampliacion de la cartera de servicios sanitarios "
SUMAR,"Seguridad y justicia",0.62,"estaciones familiares son uno de los elementos mas debiles del estado del bienestar en espana como consecuencia de ello padecemos unos indices de pobreza infantil mucho mayores que los de otros paises de nuestro entorno "
SUMAR,Sanidad,0.62,"es de 18 anos que sera de 200 al mes en forma de una deduccion fiscal o de una prestacion que puedan percibir mensualmente todas las familias que cumplan esas condiciones ampliacion de la cartera de servicios sanitarios "
SUMAR,"Seguridad y justicia",0.62,"estaciones familiares son uno de los elementos mas debiles del estado del bienestar en espana como consecuencia de ello padecemos unos indices de pobreza infantil mucho mayores que los de otros paises de nuestro entorno "
SUMAR,Sanidad,0.62,"es de 18 anos que sera de 200 al mes en forma de una deduccion fiscal o de una prestacion que puedan percibir mensualmente todas las familias que cumplan esas condiciones ampliacion de la cartera de servicios sanitarios "
SUMAR,"Seguridad y justicia",0.62,"estaciones familiares son uno de los elementos mas debiles del estado del bienestar en espana como consecuencia de ello padecemos unos indices de pobreza infantil mucho mayores que los de otros paises de nuestro entorno "
